das Kleid	dress (noun)
What is easy about learning German?	Was ist beim Deutschlernen einfach?
Wie spät ist es bei dir?	What time is it at your place?
What time is it at your place?	Wie spät ist es bei dir?
Welche Fragewörter kennst du? Notiere zu jedem Fragewort eine Frage	Which question words do you know? Write a question for each question word
Which question words do you know? Write a question for each question word	Welche Fragewörter kennst du? Notiere zu jedem Fragewort eine Frage
Wo warst du gestern?	Where were you yesterday?
Where were you yesterday?	Wo warst du gestern?
Was hast du gestern gemacht?	What have you done yesterday?
What have you done yesterday?	Was hast du gestern gemacht?
Rollenspiel	role playing game
role playing game	Rollenspiel
Teilt eine interessante Information im Kurs	Share an interesting piece of information in class
Share an interesting piece of information in class	Teilt eine interessante Information im Kurs
Lies die Sätze und ergänze die Regel	Read the sentences and complete the rule
Read the sentences and complete the rule	Lies die Sätze und ergänze die Regel
Wem gehört die Tasche?	To whom belongs the bag?
To whom belongs the bag?	Wem gehört die Tasche?
Welche Tasche meinst du?	Which bag do you mean?
Which bag do you mean?	Welche Tasche meinst du?
Wer hat das Geld gestohlen?	Who stole the money?
Who stole the money?	Wer hat das Geld gestohlen?
Frage nach den unterstrichenen Wörtern oder Wortgruppen!	Ask for the underlined words or phrases!
Ask for the underlined words or phrases!	Frage nach den unterstrichenen Wörtern oder Wortgruppen!
Nachdem sie sich für den Wettbewerb angemeldet hatten, haben sie hart trainiert	After signing up for the competition, they trained hard
After signing up for the competition, they trained hard	Nachdem sie sich für den Wettbewerb angemeldet hatten, haben sie hart trainiert
Er hatte bereits viele Kurzgeschichten geschrieben, bevor er seinen ersten Roman veröffentlichte	He had already written many short stories before publishing his first novel
He had already written many short stories before publishing his first novel	Er hatte bereits viele Kurzgeschichten geschrieben, bevor er seinen ersten Roman veröffentlichte
Sie hatten ihr Picknick gerade beendet, als das Gewitter anfing	They had just finished their picnic when the storm started
They had just finished their picnic when the storm started	Sie hatten ihr Picknick gerade beendet, als das Gewitter anfing
Sie hatten alle Zutaten gekauft, bevor sie mit der Zubereitung des Abendessens begonnen haben	They bought all the ingredients before they started preparing dinner
They bought all the ingredients before they started preparing dinner	Sie hatten alle Zutaten gekauft, bevor sie mit der Zubereitung des Abendessens begonnen haben
Nachdem wir das erste Kind bekommen hatten, wollten wir noch mehr	After having our first child, we wanted more
After having our first child, we wanted more	Nachdem wir das erste Kind bekommen hatten, wollten wir noch mehr
Gestern Abend hat Maria gekocht	Maria cooked last night
Maria cooked last night	Gestern Abend hat Maria gekocht
Nachdem sie gekocht hatte, hat sie mit ihrer Familie zusammen gegessen	After cooking, she ate with her family
After cooking, she ate with her family	Nachdem sie gekocht hatte, hat sie mit ihrer Familie zusammen gegessen
Nach dem Essen, haben sie einen Film gesehen?	After dinner, did you see a movie?
After dinner, did you see a movie?	Nach dem Essen, haben sie einen Film gesehen?
Nachdem sich meine Großeltern zum ersten Mal getroffen hatten, haben sie sich sofort verliebt	After my grandparents met for the first time, they immediately fell in love
After my grandparents met for the first time, they immediately fell in love	Nachdem sich meine Großeltern zum ersten Mal getroffen hatten, haben sie sich sofort verliebt
Ich laufe -> Plusquamperfekt	Ich war gelaufen <- Plusquamperfekt
Ich war gelaufen <- Plusquamperfekt	Ich laufe -> Plusquamperfekt
Wir lernten uns vor 3 Jahren kennen -> Plusquamperfekt	Wir hatten uns vor 3 Jahren kennengelernt <- Plusquamperfekt
Wir hatten uns vor 3 Jahren kennengelernt <- Plusquamperfekt	Wir lernten uns vor 3 Jahren kennen -> Plusquamperfekt
Sie haben sich verlobt -> Plusquamperfekt	Sie hatten sich verlobt <- Plusquamperfekt
Sie hatten sich verlobt <- Plusquamperfekt	Sie haben sich verlobt -> Plusquamperfekt
Er fuhr schon früh nach Hause -> Plusquamperfekt	Er war schon früh nach Hause gefahren <- Plusquamperfekt
Er war schon früh nach Hause gefahren <- Plusquamperfekt	Er fuhr schon früh nach Hause -> Plusquamperfekt
Sie hat sich sehr gefreut -> Plusquamperfekt	Sie hatte sich sehr gefreut <- Plusquamperfekt
Sie hatte sich sehr gefreut <- Plusquamperfekt	Sie hat sich sehr gefreut -> Plusquamperfekt
Die Kinder haben ihre Hausaufgaben gemacht -> Plusquamperfekt	Die Kinder hatten ihre Hausaufgaben gemacht <- Plusquamperfekt
Die Kinder hatten ihre Hausaufgaben gemacht <- Plusquamperfekt	Die Kinder haben ihre Hausaufgaben gemacht -> Plusquamperfekt
