Er schreibt eine Bewerbung	He writes an application
Er kennt sich gut mit Computern aus und hat schon im Büro gearbeitet	He is good with computers and has worked in the office
He is good with computers and has worked in the office	Er kennt sich gut mit Computern aus und hat schon im Büro gearbeitet
Er hofft, dass er eingestellt wird	He hopes to be hired
He hopes to be hired	Er hofft, dass er eingestellt wird
Was für ein Tag ist heute?	What day is it today?
What day is it today?	Was für ein Tag ist heute?
Um welche Stelle bewirbt sich Jonas?	What position is Jonas applying for?
What position is Jonas applying for?	Um welche Stelle bewirbt sich Jonas?
Warum bewirbt er sich?	Why is he applying?
Why is he applying?	Warum bewirbt er sich?
Womit kennt er sich gut aus?	What is he good at?
What is he good at?	Womit kennt er sich gut aus?
die Ausbildung -- Man erlernt einen Beruf, z. B. Bäcker, Polizist, Schreiner	the training -- You learn a trade, e.g. E.g. baker, policeman, carpenter
the training -- You learn a trade, e.g. E.g. baker, policeman, carpenter	die Ausbildung -- Man erlernt einen Beruf, z. B. Bäcker, Polizist, Schreiner
die Stellenanzeige -- eine Notifikation über eine neue freie Stelle	the job posting -- a notification of a new vacancy
the job posting -- a notification of a new vacancy	die Stellenanzeige -- eine Notifikation über eine neue freie Stelle
der Lebenslauf -- ein Dokument mit allen wichtigen Informationen zu einer Person und zur beruflichen Geschichte	the CV -- a document with all the important information of a person and professional history
the CV -- a document with all the important information of a person and professional history	der Lebenslauf -- ein Dokument mit allen wichtigen Informationen zu einer Person und zur beruflichen Geschichte
das Vorstellungsgespräch -- ein Gespräch mit potenziellen neuen Arbeitgebern	the interview -- a conversation with potential new employers
the interview -- a conversation with potential new employers	das Vorstellungsgespräch -- ein Gespräch mit potenziellen neuen Arbeitgebern
das Team -- eine Gruppe von Personen, die zusammen arbeiten	the team -- a group of people working together
the team -- a group of people working together	das Team -- eine Gruppe von Personen, die zusammen arbeiten
der Universitätsabschluss -- das Ende des Studiums	the university degree -- the end of the course
the university degree -- the end of the course	der Universitätsabschluss -- das Ende des Studiums
Unser Team hat gemeinsam immer viel Spaß	Our team always has a lot of fun together
Our team always has a lot of fun together	Unser Team hat gemeinsam immer viel Spaß
Simon macht eine Ausbildung zum Koch	Simon is training to be a chef
Simon is training to be a chef	Simon macht eine Ausbildung zum Koch
Die Stellenanzeige ist erst drei Tage alt	The job posting is only three days old
The job posting is only three days old	Die Stellenanzeige ist erst drei Tage alt
Stellt eure Ideen im Kurs vor	Present your ideas in class
Present your ideas in class	Stellt eure Ideen im Kurs vor
Hallo Johannes, das ist aber schade	Hello Johannes, that's a pity
Hello Johannes, that's a pity	Hallo Johannes, das ist aber schade
Vielleicht kannst du … / Oder du kannst auch ... / Du solltest unbedingt	Maybe you can... / Or you can... / You really should
Maybe you can... / Or you can... / You really should	Vielleicht kannst du … / Oder du kannst auch ... / Du solltest unbedingt
Jonas wurde zu einem Vorstellungsgespräch eingeladen	Jonas was invited to an interview
Jonas was invited to an interview	Jonas wurde zu einem Vorstellungsgespräch eingeladen
warum für den Job geeignet	why suitable for the job
why suitable for the job	warum für den Job geeignet
Was können Sie besonders gut?	What are you particularly good at?
What are you particularly good at?	Was können Sie besonders gut?
Warum bewerben Sie sich bei uns?	Why do you apply with us?
Why do you apply with us?	Warum bewerben Sie sich bei uns?
Begründe deine Entscheidung	Please substantiate your decision
Please substantiate your decision	Begründe deine Entscheidung
Spiele eine der beiden Rollen!	Play one of the two roles!
Play one of the two roles!	Spiele eine der beiden Rollen!
Welche Fragen wurden dir gestellt?	What questions have you been asked?
What questions have you been asked?	Welche Fragen wurden dir gestellt?
sich gut verkaufen können -- sich in einem Bewerbungsgespräch gut präsentieren können	be able to sell yourself well -- be able to present yourself well in a job interview
be able to sell yourself well -- be able to present yourself well in a job interview	sich gut verkaufen können -- sich in einem Bewerbungsgespräch gut präsentieren können
Die erste Bewerberin hat über ihre Stärken gesprochen. Sie konnte sich gut verkaufen	The first applicant spoke about her strengths. She could sell herself well
The first applicant spoke about her strengths. She could sell herself well	Die erste Bewerberin hat über ihre Stärken gesprochen. Sie konnte sich gut verkaufen
Schreibe eine kurze Geschichte mit dem Titel: Das Vorstellungsgespräch war ein Erfolg!	Write a short story titled: The interview was a success!
Write a short story titled: The interview was a success!	Schreibe eine kurze Geschichte mit dem Titel: Das Vorstellungsgespräch war ein Erfolg!
Der Chefin hat meine Bewerbung gefallen	The boss liked my application
The boss liked my application	Der Chefin hat meine Bewerbung gefallen
Es freut sie, dass ich mich mit Computern auskenne	She's happy that I know my way around computers
She's happy that I know my way around computers	Es freut sie, dass ich mich mit Computern auskenne
Zeugnisse und Zertifikate	testimonials and certificates
testimonials and certificates	Zeugnisse und Zertifikate
Meldebestätigung	registration confirmation
registration confirmation	Meldebestätigung
Führerschein	Driver's license
Driver's license	Führerschein
Was soll man lesen, wenn man einen Job sucht? -- Stellenangebote, Stellenanzeigen	What to read when looking for a job -- Job offers, job advertisements
What to read when looking for a job -- Job offers, job advertisements	Was soll man lesen, wenn man einen Job sucht? -- Stellenangebote, Stellenanzeigen
Ich bin vor drei Jahren mit meiner Ausbildung als Köchin fertig geworden und arbeite seitdem in einem kleinen, aber gemütlichen österreichischen Restaurant in Berlin-Kreuzberg	I finished my training as a cook three years ago and have been working in a small but cozy Austrian restaurant in Berlin-Kreuzberg ever since
I finished my training as a cook three years ago and have been working in a small but cozy Austrian restaurant in Berlin-Kreuzberg ever since	Ich bin vor drei Jahren mit meiner Ausbildung als Köchin fertig geworden und arbeite seitdem in einem kleinen, aber gemütlichen österreichischen Restaurant in Berlin-Kreuzberg
Ich möchte in einem wirklich guten Restaurant arbeiten und mehr verdienen, deswegen suche ich eine neue Stelle	I want to work in a really good restaurant and earn more, so I'm looking for a new job
I want to work in a really good restaurant and earn more, so I'm looking for a new job	Ich möchte in einem wirklich guten Restaurant arbeiten und mehr verdienen, deswegen suche ich eine neue Stelle
Ich möchte in einem sehr guten und eleganten Restaurant arbeiten und das ist nicht so einfach	I want to work in a very good and elegant restaurant and it's not that easy
I want to work in a very good and elegant restaurant and it's not that easy	Ich möchte in einem sehr guten und eleganten Restaurant arbeiten und das ist nicht so einfach
Deshalb lese ich fast jeden Tag die Stellenanzeigen im Internet	That's why I read the job advertisements on the Internet almost every day
That's why I read the job advertisements on the Internet almost every day	Deshalb lese ich fast jeden Tag die Stellenanzeigen im Internet
Mein Lebenslauf sieht sehr modern aus, ein Freund hat mir dabei geholfen	My CV looks very modern, a friend helped me with this
My CV looks very modern, a friend helped me with this	Mein Lebenslauf sieht sehr modern aus, ein Freund hat mir dabei geholfen
Ich hatte auch schon zwei Vorstellungsgespräche. Die sind gut gelaufen, ich habe die Stellen trotzdem nicht bekommen	I've already had two interviews. They went well, but I still didn't get the jobs
I've already had two interviews. They went well, but I still didn't get the jobs	Ich hatte auch schon zwei Vorstellungsgespräche. Die sind gut gelaufen, ich habe die Stellen trotzdem nicht bekommen
Er hat sechs Jahr lang an der Universität Mathematik und Informatik studiert	He studied mathematics and computer science at the university for six years
He studied mathematics and computer science at the university for six years	Er hat sechs Jahr lang an der Universität Mathematik und Informatik studiert
Er hat drei Jahre Berufserfahrung	He has three years of professional experience
He has three years of professional experience	Er hat drei Jahre Berufserfahrung
Er hat etwa drei Stunden täglich Computerprogramme entwickelt. Ab jetzt möchte er Vollzeit arbeiten	He developed computer programs for about three hours a day. From now on he wants to work full time
He developed computer programs for about three hours a day. From now on he wants to work full time	Er hat etwa drei Stunden täglich Computerprogramme entwickelt. Ab jetzt möchte er Vollzeit arbeiten
Informatik interessiert ihn aber mehr	Computer science interests him more
Computer science interests him more	Informatik interessiert ihn aber mehr
Die Konkurrenz ist groß	The competition is big
The competition is big	Die Konkurrenz ist groß
Es gibt auch viele Bewerber aus dem Ausland	There are also many applicants from abroad
There are also many applicants from abroad	Es gibt auch viele Bewerber aus dem Ausland
In zwei Wochen findet sein Vorstellungsgespräch statt	His interview is in two weeks
His interview is in two weeks	In zwei Wochen findet sein Vorstellungsgespräch statt
Informatik findet er interessanter als Mathematik	He finds computer science more interesting than mathematics
He finds computer science more interesting than mathematics	Informatik findet er interessanter als Mathematik
Max hat seine Bewerbung an eine große internationale Firma geschickt	Max has sent his application to a large international company
Max has sent his application to a large international company	Max hat seine Bewerbung an eine große internationale Firma geschickt
Deshalb lese ich fast jeden Tag die Stellenanzeigen in beruflichen Netzwerken	That's why I read the job advertisements in professional networks almost every day
That's why I read the job advertisements in professional networks almost every day	Deshalb lese ich fast jeden Tag die Stellenanzeigen in beruflichen Netzwerken
Sie hat ihre Bewerbung an drei große Firmen geschickt	She sent her application to three big companies
She sent her application to three big companies	Sie hat ihre Bewerbung an drei große Firmen geschickt
Eine Bewerbung besteht aus dem Lebenslauf, dem Anschreiben und den Zeugnissen	An application consists of a CV, a cover letter and certificates
An application consists of a CV, a cover letter and certificates	Eine Bewerbung besteht aus dem Lebenslauf, dem Anschreiben und den Zeugnissen
Im Lebenslauf stehen Informationen zur Person, zum Studium und zu den Berufserfahrungen	The CV contains information about the person, the studies and professional experience
The CV contains information about the person, the studies and professional experience	Im Lebenslauf stehen Informationen zur Person, zum Studium und zu den Berufserfahrungen
Der Chef stellt einen neuen Mitarbeiter ein	The boss hires a new employee
The boss hires a new employee	Der Chef stellt einen neuen Mitarbeiter ein
Er kennt sich noch nicht aus. Er ist Anfänger	He doesn't know his way around yet. He's a beginner
He doesn't know his way around yet. He's a beginner	Er kennt sich noch nicht aus. Er ist Anfänger
